airport,FLIGHT_mvt,flt_prefix,ADES_mvt,STAND_mvt,RUNWAY_mvt,AIRCRAFT_TYPE_mvt,y,mvt_sched,hour,month
LIRF,ISR344,ISR,LLBG,704,25,,8579.0,8579,21,1
LIRF,BEL2TH,BEL,EBBR,313,25,,4512.0,846,9,1
LIRF,ISR342,ISR,LLBG,707,25,,6060.0,6060,10,1
LIRF,WZZZZ401,WZZ,LRCL,909,25,,41766.0,41763,23,1
LIRF,WZZZZ407,WZZ,LRCL,909,25,,4859.0,4859,16,1
LIRF,MABGV,MAB,EGSS,233,25,,39837.0,39838,17,1
LIRF,RYR51YH,RYR,LEBL,307,25,,5820.0,5820,23,1
LIRF,KMMMM615,KMM,LMML,307,16R,,6849.0,6844,21,1
LIRF,RYR4QL,RYR,LICJ,501,16R,,6066.0,6063,21,1
LIRF,ISR350,ISR,LLBG,826,25,,24710.0,24715,7,1
LIRF,KAL2452,KAL,RKSS,828,34L,,9785.0,9782,14,1
LIRF,MABJA,MAB,LIME,227,34L,,20225.0,20222,20,1
LIRF,MSA711,MSA,LMML,203,25,,5404.0,5402,6,1
LIRF,ISRSR344,ISR,LLBG,824,34L,,7009.0,7014,10,1
LIRF,WMT7JX,WMT,HESX,611,25,,7329.0,7324,18,1
LIRF,GTI8237,GTI,EDDF,103,25,,13674.0,13677,6,1
LIRF,TKJ7TV,TKJ,LTFJ,711,34L,,4557.0,4558,14,1
LIRF,WMTT79VP,WMT,LATI,605,16L,,5950.0,5945,0,1
LIRF,ETH574,ETH,KORD,906,25,,5271.0,5275,4,1
LIRF,VJH365,VJH,LIML,232,25,,4624.0,4622,9,1
LIRF,UPS267,UPS,EDDK,101,25,,7738.0,7739,23,1
LIRF,EXSXS3AD,EXS,EGPH,612,25,,56633.0,56636,3,1
LIRF,EXSXS1GT,EXS,EGPF,613,25,,87177.0,60118,3,1
LIRF,,NA,LWSK,315,25,,5334.0,5337,6,1
LIRF,AEA68ZN,AEA,LEMD,301,25,,4200.0,120,17,1
LIRF,PGT1217,PGT,LIPE,815,25,,7863.0,7861,19,1
LIRF,WMT408,WMT,LATI,603,25,,6112.0,6116,4,1
LIRF,GFA030,GFA,OBBI,610,25,,4325.0,2282,22,1
LIRF,LAV962P,LAV,LEPA,829,16R,,4979.0,4979,1,7
LIRF,KMF5502,KMF,OMDW,HNG,25,,23168.0,23164,12,7
LIRF,RYR4526,RYR,LDDU,318,25,,6728.0,6724,17,7
LIRF,VOE6BB,VOE,LFBD,308,25,,87361.0,73260,17,7
LIRF,ISR342,ISR,LLBG,828,25,,23472.0,23466,17,7
LIRF,RYR9VR,RYR,LICC,315,25,,5285.0,5282,17,7
LIRF,RYR47KR,RYR,LOWW,502,25,,10508.0,10504,21,7
LIRF,BAW553C,BAW,EGLL,806,25,,8576.0,2638,10,7
LIRF,ANE8252,ANE,LEMG,230,25,,9850.0,9845,12,7
LIRF,VLG57AT,VLG,LEIB,304,25,,5753.0,5756,13,7
LIRF,NOS431,NOS,LIMC,820,25,,9971.0,9965,14,7
LIRF,WMT3950,WMT,LEIB,308,25,,7433.0,7436,20,7
LIRF,RYRR168Z,RYR,EIDW,806,25,,9350.0,9355,23,7
LIRF,NOS525,NOS,LIMC,608,25,,10979.0,10979,6,7
LIRF,ISR348,ISR,LLBG,611,25,,8510.0,8515,14,7
LIRF,TAR753,TAR,DTTA,705,25,,13849.0,13854,17,7
LIRF,ETH574,ETH,KORD,835,25,,7315.0,7317,5,7
LIRF,WZZ4032,WZZ,LYBE,801,25,,6719.0,6719,8,7
LIRF,AEE3RF,AEE,LGAV,305,25,,8034.0,1077,20,7
LIRF,WMTMT6AN,WMT,LEIB,303,25,,11093.0,11096,22,7
LIRF,ITYTY672,ITY,SBGL,811,16R,,46369.0,46374,8,7
LIRF,BEL3SG,BEL,EBBR,307,25,,8103.0,901,16,7
LIRF,HAT3631,HAT,DTTJ,828,25,,35520.0,35520,17,7
LIRF,TWB406,TWB,RKSI,711,25,,8092.0,8096,21,7
LIRF,HATT3632,HAT,LIMC,827,25,,35287.0,35283,21,7
LIRF,LAV8025,LAV,OKKK,825,25,,12792.0,12786,17,7
LIRF,LAV962P,LAV,LEPA,827,25,,15470.0,15475,7,7
LIRF,AEE5CO,AEE,LGAV,308,25,,6783.0,6781,9,7
LIRF,AEZ15TR,AEZ,LICC,235,25,,7682.0,1381,14,7
LIRF,EZSS1107,EZS,LFSB,826,25,,10560.0,10560,20,7
LIRF,UKNN1140,UKN,EPRZ,103,25,,6732.0,6726,20,7
LIRF,AEZ131R,AEZ,LIEO,228,25,,25383.0,25381,21,7
LIRF,AEZ569P,AEZ,LIEO,233,25,,18070.0,18065,0,7
LIRF,TGZ884,TGZ,UGTB,827,25,,4503.0,4501,14,7
LIRF,BEL3SG,BEL,EBBR,308,25,,7981.0,780,16,7
LIRF,TAR753,TAR,DTTA,601,25,,40262.0,40261,1,7
LIRF,UAE100,UAE,OMDB,607,25,,4683.0,4561,10,7
LIRF,CTN385,CTN,LDZA,305,16R,,4554.0,6777,11,7
LIRF,BAW557H,BAW,EGLL,614,34L,,4868.0,6604,18,7
LIRF,WMT2147,WMT,LEBL,311,16R,,8646.0,8643,19,7
LIRF,AEZ131R,AEZ,LIEO,231,16R,,15184.0,15182,20,7
LIRF,WMT9891,WMT,LGMK,314,16R,,9170.0,9175,20,7
LIRF,WMT6AN,WMT,LEIB,315,25,,6369.0,6364,21,7
LIRF,RYRR901Y,RYR,LFOB,301,25,,14890.0,14885,21,7
LIRF,EZY38DT,EZY,EGCC,806,25,,7679.0,7679,22,7
LIRF,CES788,CES,ZSPD,606,25,,11636.0,11638,22,7
LIRF,RYR14UJ,RYR,LOWW,322,25,,20576.0,20578,22,7
LIRF,RYR14WC,RYR,EKCH,316,25,,19315.0,19317,22,7
LIRF,FIE258,FIE,UDYZ,608,25,,14939.0,14939,23,7
LIRF,BELEL5LC,BEL,EBBR,304,25,,16549.0,16554,23,7
LIRF,RYR7025,RYR,EPMO,314,25,,7741.0,7740,23,7
LIRF,FIAIA298,FIA,LUKK,609,25,,12532.0,12536,0,7
LIRF,VLG91ZA,VLG,LEBL,308,25,,24900.0,24900,0,7
LIRF,RYR359,RYR,EDDB,501,25,,45791.0,45785,6,7
LIRF,EIN4TH,EIN,EIDW,808,25,,8509.0,8514,11,7
LIRF,WMTT5232,WMT,LEVC,804,16R,,64437.0,64438,12,7
LIRF,FIN85B,FIN,EFHK,322,25,,15716.0,15718,13,7
LIRF,RYRR90BN,RYR,LDZA,321,25,,87170.0,93535,14,7
LIRF,RYR4904,RYR,LICJ,316,25,,6591.0,6595,15,7
LIRF,WMT8UJ,WMT,EGKK,801,25,,6232.0,6236,18,7
LIRF,WMT9891,WMT,LGMK,314,25,,6426.0,6423,19,7
LIRF,NOS163,NOS,HTZA,606,25,,11151.0,11155,1,7
LIRF,TKJ8KX,TKJ,LTFJ,610,25,,5698.0,5699,12,7
LIRF,WZZ80EX,WZZ,EPWA,315,25,,5339.0,5339,20,7
LIRF,RYR79SF,RYR,LEMG,304,25,,7735.0,7737,21,7
LIRF,AEZZ139V,AEZ,LIEO,238,25,,9726.0,9723,9,7
LIRF,MSA793A,MSA,LICC,201,25,,17813.0,17816,14,7
LIRF,WZZ801,WZZ,EPWR,314,25,,18431.0,18425,20,7
LIRF,DAL231,DAL,KJFK,608,25,,4192.0,4196,11,7
LIRF,TKJ8KX,TKJ,LTFJ,824,25,,4564.0,4562,11,7
LIRF,TKJJ6651,TKJ,EDDB,828,25,,12783.0,12781,14,7
LIRF,AEZ131R,AEZ,LIEO,234,25,,10372.0,10376,17,7
LIRF,ISR342,ISR,LLBG,706,25,,6121.0,6120,22,7
LIRF,UAL885,UAL,KIAD,708,25,,9418.0,9119,10,7
LIRF,AEZ9826,AEZ,LIRZ,238,25,,8107.0,3363,11,7
LIRF,ABR468,ABR,LIMC,106,25,,17217.0,17218,12,7
LIRF,AEZZ131R,AEZ,LIEO,235,25,,9783.0,9781,17,7
LIRF,WZZ80EX,WZZ,EPWA,302,25,,6960.0,6960,20,7
LIRF,FIE258,FIE,UDYZ,610,25,,19432.0,19436,23,7
LIRF,CHHHH438,CHH,ZGSZ,711,25,,88132.0,84236,8,7
LIRF,HAT3632,HAT,DTTJ,825,25,,8638.0,8639,13,7
LIRF,ACA891,ACA,CYYZ,608,25,,14822.0,14821,14,7
LIRF,TGZ884,TGZ,UGTB,707,25,,11330.0,11335,16,7
LIRF,FIN4NC,FIN,EFHK,505,25,,16674.0,16677,21,7
LIRF,THY1ZC,THY,LTFM,815,25,,14762.0,14761,9,7
LIRF,ACA893,ACA,CYUL,710,25,,6188.0,6184,11,7
LIRF,TWB406,TWB,RKSI,706,25,,8576.0,8578,21,7
LIRF,LAV3551,LAV,HEMA,824,25,,7747.0,7743,8,7
LIRF,ISR342,ISR,LLBG,702,25,,15238.0,15239,15,7
LIRF,LAV1477,LAV,LIMC,509,25,,5629.0,5634,18,7
LIRF,RYRR168Z,RYR,EIDW,806,25,,7675.0,7677,23,7
LIRF,LAV973P,LAV,LIMC,829,25,,7803.0,7801,20,7
LIRF,WMTMT4MV,WMT,LATI,804,25,,6004.0,6002,22,7
LIRF,,NA,LIRA,314,25,,4449.0,4444,15,7
LIRF,AEZZ131R,AEZ,LIEO,234,25,,11332.0,11336,18,7
LIRF,RYR8924,RYR,LICT,306,25,,6348.0,6354,19,7
LIRF,WMT408,WMT,LATI,804,25,,7752.0,7746,1,7
LIRF,MEA1236,MEA,OLBA,824,25,,7389.0,7384,11,7
LIRF,WMT9ZP,WMT,LGKR,316,25,,5213.0,5216,14,7
LIRF,WZZ60DA,WZZ,EPKT,307,25,,4975.0,4977,14,7
LIRF,WMT7204,WMT,LPPT,322,25,,6783.0,6781,18,7
LIRF,WMT9891,WMT,LGMK,305,25,,7508.0,7504,20,7
LIRF,WMTMT6AN,WMT,LEIB,310,25,,14939.0,14939,23,7
LIRF,RYRYR693,RYR,LIRA,321,25,,7188.0,7194,11,7
LIRF,KLM76R,KLM,EHAM,311,25,,4497.0,8578,13,7
LIRF,AAL239,AAL,KDFW,705,34L,,18905.0,18902,13,7
LIRF,MSC2808,MSC,HELX,824,25,,8952.0,8946,13,7
LIRF,BEL5LC,BEL,EBBR,303,25,,7810.0,3125,19,7
LIRF,RYR9012,RYR,LDSP,317,25,,5650.0,5645,20,7
LIRF,ITY1579,ITY,LIEA,229,25,,6652.0,6656,21,7
LIRF,NOS163,NOS,HTZA,609,25,,6417.0,6418,0,7
LIRF,LAV8011,LAV,LIMF,824,25,,8270.0,8275,9,7
LIRF,LAV1593,LAV,HECA,825,25,,10091.0,10085,15,7
LIRF,CTN381,CTN,LDZA,311,25,,6113.0,6116,17,7
LIRF,ITYTY674,ITY,SBGR,901,16R,,43863.0,43861,8,7
LIRF,ITYTY680,ITY,SAEZ,606,25,,87186.0,58563,12,7
LIRF,ARGG1141,ARG,SAEZ,603,16R,,45368.0,45364,5,7
LIRF,KLJJ5204,KLJ,LEAS,825,25,,9774.0,9777,17,7
LIRF,RYR90LJ,RYR,LEMD,313,25,,8638.0,8639,22,7
LSZH,OMA154,OMA,OOMS,E46,34,B789,5992.0,6118,22,1
LSZH,LAS407,LAS,LSXB,HPW,H,A139,7625.0,7382,10,1
LSZH,HBCKG,HBC,LSZF,MFG,28,C172,9652.0,9946,17,7
LTFM,THY92,THY,OEJN,144L,35L,A321,7374.0,7977,8,1
LTFM,MNE2901,MNE,LYPG,F7R,35L,E195,4368.0,4674,17,7
LTFM,THY3QY,THY,EYVI,B2,35L,A21N,4371.0,4495,6,7
LTFM,THY3QT,THY,LTBZ,G11L,36,A319,6302.0,6601,11,7
LTFM,THY7TN,THY,LSGG,B15,35L,B789,4329.0,4624,13,7
LTFM,THY37YD,THY,LIRF,A9,35L,A333,3843.0,3781,14,7
LTFM,AEA1684,AEA,LEMD,D6,35L,B788,5765.0,8342,15,7
LTFM,THY3GM,THY,LKPR,B9L,35L,A21N,5269.0,5094,15,7
LTFM,THY6SC,THY,EYVI,B9R,35L,B38M,6473.0,6836,15,7
