rank,airport,STAND_mvt,RUNWAY_mvt,hour,y,pred,resid,abs_err,p_cal,aobt_eobt,mvt_aobt,queue,dep_15m,dep_rwy_15m,AIRCRAFT_TYPE_mvt,WK_TBL_CAT_flt,month
23,LIRF,804,25,18,5933.0,1360.8218592644355,4572.178140735565,4572.178140735565,2463.794918798522,3120,1016,7.0,7,9,A21N,M,7
24,LIRF,304,25,21,5950.0,1392.6712289967568,4557.328771003244,4557.328771003244,1120.8875346215366,600,845,4.0,8,6,A321,M,7
25,LSZH,A42,16,15,5777.0,1234.4605062001701,4542.53949379983,4542.53949379983,1224.9269620238033,1500,836,4.0,5,6,A321,M,7
26,LFPG,U04,27R,15,5696.0,1160.468386207185,4535.531613792815,4535.531613792815,1517.4621004173464,3540,718,10.0,11,3,A320,M,7
27,LIRF,908,25,12,8103.0,3584.5218992206537,4518.478100779346,4518.478100779346,2125.5044851110474,1680,1321,5.0,9,4,B738,M,7
28,LIRF,829,25,12,8809.0,4363.156158163852,4445.843841836148,4445.843841836148,1654.387927682818,540,1194,7.0,9,9,B38M,M,7
29,LIRF,611,25,15,7386.0,2942.576160730942,4443.423839269059,4443.423839269059,2439.0836593572835,2340,1563,15.0,11,6,A21N,M,7
30,LFPG,J33,27R,13,5895.0,1526.5957874625733,4368.404212537427,4368.404212537427,1885.0329629782045,3420,1213,9.0,8,3,E190,M,7
31,LSZH,D15,28,10,368.0,-3976.8199805979807,4344.81998059798,4344.81998059798,-5037.8029027339235,2460,-11269,4.0,3,3,E75L,M,1
32,LFPG,B24,26R,15,1626.0,-2677.428352238536,4303.428352238536,4303.428352238536,-4074.685741155524,540,-9297,5.0,11,8,A343,H,7
33,LIRF,311,25,14,6428.0,2150.8163241572242,4277.183675842776,4277.183675842776,1818.4794713518022,2100,904,7.0,10,6,A320,M,7
34,EGLL,317,27R,18,2336.0,6607.148271283665,-4271.148271283665,4271.148271283665,3071.1331707247,6120,1438,10.0,10,10,B788,H,7
35,LIRF,236,25,16,6533.0,2281.178204405169,4251.821795594831,4251.821795594831,779.3322565394949,240,596,5.0,5,7,B738,M,7
36,EDDF,V178,07C,15,4695.0,496.37075333212124,4198.629246667879,4198.629246667879,-347.9875744905032,1440,-1586,5.0,2,7,A320,M,7
37,LSZH,B31,16,22,9085.0,4921.068663279577,4163.931336720423,4163.931336720423,2383.661317569486,9660,546,1.0,0,5,A20N,M,1
38,LIRF,704,25,21,6953.0,2842.40417675915,4110.59582324085,4110.59582324085,1406.955029916298,420,1016,4.0,2,3,B77W,H,7
39,LIRF,305,25,19,5463.0,1353.1011589324871,4109.898841067513,4109.898841067513,1225.5875685413369,840,841,6.0,5,5,B38M,M,7
40,EGLL,401,27L,9,1084.0,-2990.5669408777994,4074.5669408777994,4074.5669408777994,-4023.768581556615,2040,-10018,15.0,9,11,B738,M,1
41,EGLL,511,27R,14,5757.0,1698.9995261517142,4058.0004738482858,4058.0004738482858,1774.914442345165,1440,1438,14.0,10,11,A320,M,7
42,LSZH,A48,28,13,709.0,-3297.8002251900725,4006.8002251900725,4006.8002251900725,-4173.14662839527,180,-9003,1.0,2,6,A21N,M,1
43,LIRF,501,25,16,5524.0,1525.228141122699,3998.771858877301,3998.771858877301,1764.4408957156388,1860,962,6.0,4,10,B738,M,7
44,LIRF,304,25,11,5712.0,1716.8257165263633,3995.174283473637,3995.174283473637,1609.989128337563,1560,966,8.0,8,6,A21N,M,7
45,LIRF,301,25,21,4862.0,869.6362008630006,3992.3637991369997,3992.3637991369997,823.2687957630386,180,661,5.0,8,3,A320,M,1
46,LIRF,311,34L,18,5571.0,1584.597393086151,3986.402606913849,3986.402606913849,1806.6258747924705,1560,1015,5.0,5,1,A320,M,7
47,LIRF,303,25,14,1687.0,-2291.3777600643853,3978.3777600643853,3978.3777600643853,-1114.0381406058136,720,-2637,14.0,9,10,B738,M,7
48,LIRF,831,25,5,6302.0,2331.6094732574466,3970.3905267425534,3970.3905267425534,1684.7634673115347,840,1261,8.0,2,9,A35K,H,1
49,LIRF,709,25,15,7922.0,4058.692565140507,3863.307434859493,3863.307434859493,2563.8386257385814,2220,1741,16.0,11,10,B737,M,7
50,LIRF,302,25,13,5748.0,1923.6695447745553,3824.330455225445,3824.330455225445,1720.077208793079,1080,1434,12.0,8,7,A320,M,7
